comment,sentiment
a majority of men only receive flowers at their funeral,positive
personas asi hacen agradable la existencia,positive
,positive
isnt that ai,positive
,positive
hej,positive
,positive
geschauspielert,positive
earth angel,positive
,positive
que gestomagnificoisso amor dezmilbrasil,positive
ainda existe muitas pessoas assim feliz com a vida dele e d prximo n,positive
,positive
que lindo,positive
,positive
this old man again he is a cheat he has been in so many kindness content videos,positive
,positive
fake,positive
merveilleux jeune,positive
so ein gestellter schwachsinn einfach nur leute verdummung,positive
treat others how you want to be treated,positive
,positive
parece mi viekjo,positive
,positive
,positive
,positive
,positive
whats up with all the damn frenchies in here,positive
thats awesome,positive
ooooo que lindoooooos,positive
,positive
,positive
he came with flowers and left with grace,positive
knoppzm,positive
ese es mi dos,positive
tamamen sama,positive
,positive
,positive
ehfcx no me gusta que origen de,positive
amm,positive
,positive
,positive
,positive
jai pleur,positive
,positive
,positive
,positive
allah,positive
,positive
in edi,positive
mmmmmmmmmmmmmmmmm,positive
,positive
,positive
usuw,positive
obrigado jesus por isso que voc menininha voc t fazendo isso por jesus n t ainda bem que voc tambm menininha eu e voc tomara que voc seja da igreja tambm,positive
,positive
no manches amo a jess,positive
todos aman a dios,positive
,positive
p,positive
,positive
hola irania birmania,positive
,positive
amn amn amn y amn,positive
amn amn,positive
,positive
deus esiste,positive
,positive
,positive
amn cristo es el mejor,positive
noislam,positive
,positive
,positive
,positive
s,positive
amen,positive
,positive
,positive
amen,positive
h is not,positive
amin,positive
,positive
,positive
,positive
,positive
,positive
hehcal jekwo,positive
geogrfica ef la maana,positive
,positive
,positive
gracias dios por darme la vida,positive
,positive
i love jesus,positive
,positive
,positive
todo lo que movi fue el diablo,positive
con ngi cn c tin l cn lng thin,positive
dio e speciale,positive
amenjesus es real,positive
allahuakbar,positive
,positive
yo,positive
,positive
,positive
,positive
jesus by mais bom do que eu mal,positive
,positive
virada na minha vida jesus,positive
,positive
,positive
,positive
amm,positive
,positive
,positive
i love jesus,positive
,positive
,positive
que lindo e roro,positive
jesus,positive
,positive
meraviglioso,positive
otdf,positive
poor boy,positive
,positive
amen,positive
,positive
,positive
,positive
,positive
,positive
,positive
jesus,positive
,positive
,positive
,positive
,positive
,positive
amen,positive
papa jesus magpalakas ka,positive
,positive
,positive
,positive
famllles,positive
nunca en la vida te burles de nuestras oraciones de jess,positive
,positive
amm deus,positive
amn,positive
,positive
le rezan a cristbal coln,positive
amn,positive
,positive
,positive
linda atitude dessa menina,positive
,positive
no es se tatua es gesus,positive
amen,positive
,positive
te amo,positive
nicd,positive
i am mouslim,positive
whats the meaning of this idk anyone explain bleh,positive
,positive
im single and not hope,positive
i want to do this with my,positive
loveyoua,positive
i love self love,positive
,positive
you say you love rain but you open your umbrellayou say that you love rain but you open your umbrella when it rainsyou say that you love the sun but you find a shadow spot when the sun shinesyou say that you love the wind but you close your windows when wind blowsthis is why i am afraid you say that you love me too,positive
i choose to love you in silence for in silence i find no rejectioni choose to love you in loneliness for in loneliness no one owns you but mei choose to adore you from a distance for distance will shield me from paini choose to kiss you in the wind for the wind is gentler than my lipsi choose to hold you in my dreams for in my dreams you have no end,positive
are they gonna kiss,positive
so sweet couple,positive
hmmmmmch,positive
ioveyou,positive
iove,positive
tt,positive
yo what,positive
,positive
i am currently unattached,positive
,positive
i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you i love you,positive
how sweet to remind me how lonely i am,positive
thats creepy,positive
me not single no more stop showing me thisssd,positive
valentines is nearing and some people are,positive
so cool,positive
nice,positive
so sad im single,positive
yo,positive
,positive
me just searching self love quotes,positive
singles comment their situations,positive
sus moment,positive
hfbnhn fgceggfnkpojmmfbmlnoololololomlnjcf,positive
hati hati umat islam ketika kamu melihat di media sosial ingat azab allah swt bimbang bala berat di dunia akhirat dahsyat lagi,positive
ohh i have a little cute boy,positive
hello,positive
und wie ging es nun weiter mist verdammter,positive
but i searched for self love quotes,positive
very good,positive
,positive
drama ter nam ki,positive
so sweet romance,positive
,positive
girl stop making these type of content,positive
can they speak english or korean,positive
,positive
welcome to a new video today where looking at what the fk did i just watch,positive
me single,positive
us single,positive
show full video,positive
hjo,positive
casal fofinho,positive
so cute,positive
drama name,positive
,positive
,positive
why are the reason we are single,positive
stop smiling its not you,positive
,positive
,positive
i think im gonna die a virgin,positive
ahem we are watching,positive
,positive
hmmm ethu lam ore sukam tan single lam puriyathu,positive
why cant youtube understand im single,positive
love you de la salle thanks kyle flormata wadi cry,positive
,positive
link full,positive
im so blushing,positive
,positive
wow so sweet and i like,positive
e im girl but i always think to never gonna be marry,positive
drama name please,positive
us single,positive
qewtyhu,positive
drama name,positive
,positive
without ph i live but with a bf,positive
drama name,positive
dizimi bu ad nedir,positive
,positive
how so sweet,positive
what is your favorite pitbull song,positive
anybody else here cause of the emoji movie,positive
the song is good it remind us the important of now,positive
who is,positive
yo what are you doing with this its so sadrelyy happy,positive
omg i wove is song plss tell me are u in london,positive
this was the song when it was our class last year together before going to high school stuck for me for ever,positive
,positive
stata nel film emojiaccendi lemozione,positive
i love this song,positive
,positive
fireball,positive
whos here because of the emoji movie,positive
i just finished watching the emoji movie,positive
anyone july,positive
yes,positive
this song is golden,positive
hi how or you,positive
eoilaq,positive
,positive
me you,positive
make daylong best animation logos,positive
smurfs movie,positive
this song could be used for the smurfs musical movie in,positive
nice,positive
this is your gentle reminder that you matter i hope today treats you kindly,positive
this song was ruined by the emoji movie honestly,positive
may jesus bless you all as he has done for me repent of your sins for his return is at hand,positive
this track rocks,positive
guys indiana who did this song you know who did this for the singer it was robot boy from cartoon network and protoboy help him and robot girl helps to locate the song i just want to feel this moment,positive
uuuufff temas a alguien ms le paa que cuando escucha esta cancin se acuerda de la pelcula de emocin la palicula,positive
emoji movie ever everyone do the emoji pop,positive
raul disini,positive
wintergreen end credits feel this moment,positive
directed by mike mitchell screenplay by james miller christopher miller and lord miller produced by chris defaria and bob shaw music by john powell zac efton james marsden maya rudolph brad garett danny devito micheal penz albert brooks benjamin bratt tom kenny ben schwartz chris hemsworth john cuasack and steve carell casting by ruth lambbert production designer chris w goodman visual effects supervisor greg peers feature animation by animal logic associate producer david t holmes music supervisor juilliare jorden a warner bros pictures presentation in association with village roadshow pictures in association with ratpac dune entertainment a lin pictures production wintergreen,positive
yall remember the emoji movie,positive
,positive
,positive
emojie film,positive
this song is a reminder to live fully and appreciate the now feel this moment gives you that rush of excitement energy and gratitude all at once pitbull and christina nailed it,positive
whos in rn,positive
skibidi toilet vibes,positive
feel this moment,positive
its gemini season my taurus baby sent me,positive
this song is in the emoji film,positive
,positive
feeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeel,positive
feel this moment,positive
woah feel fe feel this woahhh,positive
emoji cartoon,positive
is this emoji movie,positive
cesarperez,positive
,positive
,positive
love this song,positive
cocolino,positive
what else am i gonna lose dont be embarrassed to enjoy and move,positive
remember the emoji movie,positive
emoji ms music headphones colors pink solid dynamic pair ms music,positive
emoji movie,positive
hear it on movie trailers and come here,positive
,positive
,positive
,positive
what is your favourite pitbull song,positive
whos here in,positive
love this music,positive
such nostalgia when life was so simple,positive
,positive
,positive
und wieder macht das sabbelgebabbel den ganzen song kaputt,positive
meowing this song,positive
anyone in,positive
i am steve,positive
no she,positive
the song is cool,positive
christina is such a legend forever a classic,positive
i love this song,positive
bro am i the only one that loves song that when the beat drops it like switches over and over again idk how to explain it freaks is an example,positive
liebe ist auch,positive
who came from the emoji movie,positive
,positive
minecraft movie makin this song famous fr,positive
i feel like this could be a song for a trailer for a roblox movie,positive
latin pop is a whole vibe not just a genre,positive
sadness,positive
pov lo que escuchaba de chiquita,positive
im here for christinas singing i dont really care about the pitbull parts to be honest,positive
i really like that song,positive
guys remember the emoji movie,positive
im just here beause of patricio pitbulls walkout song great choise,positive
anyone,positive
this song hits different on a fair ride,positive
they ruined your song and tone and video that tiktok song i hae that,positive
emoji la pelicula,positive
this is beautifull song,positive
emoji movie,positive
hear this song from a different movie trailers i love it,positive
amazing,positive
leo x hex,positive
my favorite song is timber by pitball and feel this moment,positive
raph and blossom dance together,positive
woody and jessie dance together,positive
chill and roller brawl dance together,positive
sper lindo tema,positive
robin torres this song for you feel this moment,positive
,positive
shes not a singer but a self made philosopher whichs why shes telling us that how to be optimistic and stoic about our future but be in the moment,positive
my favorite pitbull song i missed this song,positive
this song remind me of the promening in md,positive
i feel it pitbull has great music,positive
i wish to be a fighter fighter one day thats the song what i want,positive
fantastic song,positive
i just wish he could do my song check out my youtube channel and look at the techno song i produced its going on th radio tommorow night,positive
the sound is cool,positive
wish there were sound effect of audience,positive
this shit sucks,positive
actually feel,positive
anybody in,positive
this song is amazing,positive
i love the summer by taylor swift tomorrow please,positive
i love this song,positive
damn ive never been so early,positive
this season of summer was throwback all songs,positive
ill never forget that i was introduced to this song through the lego movie,positive
excellent song,positive
this was my aunts wedding song,positive
w,positive
year,positive
anyone watching from kenya gather here,positive
nice work so proud of you,positive
im happy feeling better now this morning beautiful moment with u bbbbiiigg mobbbss loving for u from mandy marlowes,positive
,positive
i wish i could feel some moments forever,positive
my favourite pitbull song is fireball,positive
nice song,positive
subscribe to my channel,positive
,positive
the dance at the end,positive
hahahahahahaahaha hahahaha,positive
lol love the dance,positive
two international stupid in one frame,positive
,positive
the dance is funny but the scream is insain,positive
merlina,positive
,positive
,positive
i don like chelse cate rial,positive
,positive
i love your videos,positive
hd f surest g through gj,positive
omg wedding my daughter,positive
hey alanchikinchiw,positive
,positive
whglgogm,positive
ciao ciao baci che ripasser cos molto ma non lo sappiamo gi tanto io cho la faccia era cos,positive
,positive
,positive
,positive
you,positive
,positive
i feel good,positive
,positive
no no no no no no no laugh,positive
your videos are amazing you make my day i live u and your videos,positive
,positive
,positive
,positive
,positive
good,positive
pikirin ceweknyamau di putusin,positive
yhdufrufhrtehvcingn,positive
,positive
,positive
,positive
cvgdgh,positive
,positive
,positive
ok we why subscribe to your channel,positive
,positive
haha,positive
danarinos como sempre amor,positive
ew,positive
jawad alraha is and good weekend so ill probably be,positive
,positive
aaaaaaaaaaaaaaaaaaaaai love you more than anything in this world i am your st,positive
,positive
wewanttosubcribe,positive
wowwensday,positive
,positive
,positive
funny,positive
,positive
i love you alan chow,positive
,positive
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,positive
cie,positive
,positive
,positive
what the fuck is this bullshity ass content,positive
,positive
,positive
i feel good,positive
,positive
grow up,positive
,positive
,positive
i love youalan,positive
,positive
wednesday is not supposed to smile,positive
nice thank you for your subscribers,positive
i feel good,positive
o,positive
iais,positive
,positive
,positive
hg,positive
nice,positive
nananananaar,positive
i love that song,positive
violador,positive
pov when u feel good i feel good do do do do do,positive
the way they b wobble was so funny,positive
i feel sad cuz off my fucking life,positive
,positive
this video is so pretty i,positive
feeling elite dancing,positive
,positive
i love youalan,positive
,positive
let try,positive
not now,positive
bruh bruh bruh bruh i hate your videos on tuesday,positive
bur bruh,positive
,positive
this is corny,positive
ho no,positive
oh,positive
,positive
huh,positive
gorila,positive
wensday is blinking,positive
its wednesdays cousin tuesday,positive
mindblown by your skills,positive
,positive
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,positive
we,positive
supervisor,positive
tiko,positive
no,positive
hahaha,positive
i will subscribe to your channel,positive
i love you,positive
,positive
,positive
,positive
am the u irir,positive
others how do you fell me okay my brain i fell good touroutotou,positive
what the hell,positive
,positive
dats monday,positive
sbroaple,positive
those are not wednesday or thursday,positive
this channel is so fun,positive
,positive
llpppp,positive
how is brooke gonna drink it is just musical two,positive
wednesday smiled yaaaaa,positive
that is so funny im loving im laughing,positive
fofo boys are spreading,positive
that they cant wait no no way screamadelica could work what the heck that i never seen nobody knew that i was amazing i was in,positive
this can make a grown man cry,positive
that boy looks like he got hit in the ice rink one too many times,positive
that last one,positive
that little dudes smile,positive
what the heck why would they crunch a five year old he probably eats his boogers thats gay,positive
last one is pure gold,positive
the smallest gesture can mean the world to someone else take that extra second to recognize another human being it costs you nothing,positive
wait are these the bruins if so their from my home town in the one video,positive
lets smile together yll,positive
this is really good,positive
that beautiful baby and a beautiful smile,positive
not the roster song,positive
the bruins one this is what everyone needs to be like,positive
i really like this boy i have to watch it over and over again,positive
nice kindness guys,positive
men are mean explain this,positive
very nice from canada,positive
the second one made my heart melt,positive
its worth its worth,positive
dang that boy,positive
the second one made me almost cry he is so happy to get a fist bump,positive
literally warmed my heart,positive
respect to that one blue jays fan,positive
watching this i legit hate myself cuz as a s kid that spent his life playing hockey i had to abandon that idea cuz at the time i was considered white trash in the ghetto and i let that mentality corrupt me,positive
starke aktionen,positive
that last one got me,positive
bro that last one,positive
little boys smile went me crying in cutness when he smiled,positive
i wish everybody was like the last guy,positive
faith in humanity restored,positive
last guy celebrated only a split second before making a kids day,positive
cutest baby,positive
skibidi toilet,positive
skibidi toilet hi,positive
skibidi toilet,positive
skibidi toilet,positive
the last dude in genuine,positive
lets go jets,positive
this would never happen in the uk,positive
ini salah satu peradaban manusia yang paling terburuk karena banyak sekali manusia membunuh manusia di gaza dan tak ada satupun kekuatan dari manusia lain untuk menghentikannya sangat sedih,positive
ball for adults might be just a temporary memory but for kids it truly becomes a memory that lasts forever,positive
the second one was the best i think because the boy was so cute,positive
why doe the thumbnail look like a pixelated version of omniman,positive
these are times that sports are more than sports,positive
,positive
if u r reading this then jesus loves you,positive
fair trade i agree,positive
omg thats so good,positive
as a father its the best to make a kid smile,positive
la cancin del ultimo se llama i wonder,positive
,positive
amazing players for helping that kid with is dream,positive
can we find the man at the end give him the moon,positive
weeks ago i turned and decided to try to reunite with my dad after he left my mom to raise me alone at the age of when she was pregnant about a week after my birthday i learned his name turns out he has been in jail ever since he left us and he has a few more years left im lucky cause i arrived the day of his th birthday so he got a really good birthday present even though i had no father my life turned out great my mom being has a pretty good job and we arent having money problems my dad was happy that we still ended up with a great life,positive
last one is emotional enough to make a grown man cry,positive
i know it sounds cheesey but sometimes it takes so little to make someones day brighter,positive
i didnt see what did he trade for the puck,positive
great video,positive
the child is so cute omg,positive
what was the trade,positive
people in this world are so wholesome,positive
,positive
imagine one of the players rizzed the kid up,positive
hocky players just seem cool dude i dont watch nhl but these clips make them seem like the coolest in national sports,positive
that last one made me cry,positive
,positive
para un adulto es genial atraparla y para un nio es llevarla,positive
second one hit different little buddy got his whole world turned upside down,positive
the most heartwarming moments in history the most heartwarming moments in sports,positive
is it just me or did that last guy look like chester bennington,positive
that little kid was so cute,positive
,positive
theres good people everywhere the media has us hating each other,positive
shlart tank was so happy he got the ball back in,positive
this video deserves the amount of like it has,positive
nah tic tac has bad demand,positive
the second one song name,positive
lets go jets,positive
,positive
all of them was very cute,positive
ehlers is a sweetheart,positive
ehlers has class,positive
that little nerdy bruins fan is cute,positive
unlike joe biden and all his minions the republican people can interact with kids without sniffling them,positive
it was the way you slowed down the music for the little bruins kid that made it unintentionally hilarious,positive
syndrome is down but the fist up,positive
respect earned on the last one,positive
the second one makes me have happy tears its just the smile i would really want to meet him,positive
that last one just hits diffrent,positive
no se engane o americano no to amoroso,positive
thats why i luv the nhl,positive
theres still hope for us all,positive
in history,positive
the kid in the second one was soooo cute,positive
i the comment,positive
last one is goated w man,positive
that last guychampion,positive
the kid is so cute,positive
tictacs,positive
this guy with the brings hat is to holesome,positive
the second when was so good,positive
i love when ppl are always so nice like tha,positive
what is the name of the first player,positive
full respect,positive
i love this its really heartwarming,positive
the boy with the glasses was so cute,positive
the last one has another heartwarming because after that judge was interviewed and he found it and made the boy come and give him the another ball and aaron judge is the boys fan,positive
not me seeing this after i just went to the home run derby at the rangers stadium,positive
the last one hit me so hard,positive
the second one the kid is so cute,positive
the poor boy god blees him,positive
aku lebih terkesan di vidio yg terakhir,positive
,positive
last guy deserves all good things in his life by giving an amazing core memory for the kid,positive
that hug meant more than that ball ever could have to him,positive
,positive
those are the real news,positive
damn hit me,positive
i love hockey people,positive
as it should be,positive
that last one he one celebrated for like seconds then he handed it off well done sir and to the philly hockey team you guys keep surprising me well done,positive
hmmm no female athletes,positive
english i love you spanish te amo french je taime german ich liebe dich italian ti amo portuguese eu te amo dutch ik hou van je russian ya tebya lyublyu chinese mandarin w i n japanese ai shiteru korean saranghaeyo arabic uhibbuka turkish seni seviyorum greek se agap hindi main tumse pyaar kartakarti hoon swedish jag lskar dig norwegian jeg elsker deg danish jeg elsker dig finnish rakastan sinua polish kocham ci czech miluji t hungarian szeretlek romanian te iubesc bulgarian obicham te ukrainian ya tebe kokhayu hebrew ani ohev otakhotkha indonesian aku cinta kamu vietnamese anh yu em male to female em yu anh female to male thai chan rak ter filipino mahal kita malay saya cintakan awak swahili nakupenda afrikaans ek het jou lief catalan testimo estonian ma armastan sind lithuanian a tave myliu latvian es tevi mlu slovak milujem a slovenian ljubim te albanian te dua macedonian te sakam serbian volim te croatian volim te bosnian volim te icelandic g elska ig welsh rwyn dy garu di irish t gr agam duit scottish gaelic tha gaol agam ort basque maite zaitut corsican ti tengu caru maltese inobbok yiddish ikh hob dir lib luxembourgish ech hunn dech gr malagasy tiako ianao hausa ina sonka igbo achorom gi nanya somali waan ku jeclahay zulu ngiyakuthanda xhosa ndiyakuthanda sesotho ke a o rata esperanto mi amas vin javanese aku tresno awakmu bengali ami tomai bhalobashi gujarati hu tan prma karu chu kannada nnu ninnannu prtisuttne malayalam njn ninne snehikkunnu marathi mjha tumhl prma karat nepali ma timl my garchhu odia mu tumaku bhalapai punjabi main tain piyr karad h sindhi man twn j mahabbat kiyand tamil n uai ktalikki telugu nnu ninnu prmistunnnu urdu main tum se pyaar kartakarti hoon uzbek seni sevaman kazakh seni syemin kyrgyz seni sym tajik man toro dst medoram turkmen men seni srin georgian miqvarxar armenian yes kez sirum em azeri mn sni sevirm amharic ewedeshalehu hausa ina sonka kurdish ez te hezdikhem pashto za te dost kum sinhala mama oyaa daryi sundanese abdi cinta ka anjeun uzbek men sizni sevaman uighur men sizni yaxshi koremen filipino iniibig kita hawaiian aloha au ia oe maori aroha ana ahau ki a koe samoan ou te alofa ia te oe tahitian ua here au ia oe fijian au lomani iko maori e aroha ana ahau ki a koe tongan ofa atu kihe koe marshallese jekwe en in jeik pidgin english mi lusim yu,positive
the first one is so sweet,positive
das ist sport,positive
pikny gest,positive
life is amazing,positive
you know i get so angry and upset with the world but little acts of kindness like this keep me going bles u all,positive
im literally crying,positive
the last one he was like yeah then he saw the kid he was like oh here you go,positive
the last one damnit it got me lol,positive
in the first video can someone tell me what the kid is giving in exchange,positive
that last one is fucking beautiful man you could tell he wanted to celebrate and was happy to get it but than he seen the kid and instantly changed his mind and gave it to the kid what a stand up lad,positive
if sports was always like this i might actually like it,positive
beautiful acts,positive
if just one player would have taken a moment of their time to pick that most precious baby wearing the glasses up my whole world would be better and so would his,positive
theyre not the sametheyre not the same,positive
not to be mean but that guys a sheriff also i have a blue staffy and that side look at the end proves its a true staffy like im cuddling my hooman but what you looking at,positive
we love you hot dog man an angel in a long bun,positive
wonderful we need more of this type of positive content m,positive
,positive
hearbursting,positive
i like it,positive
i love this melody its very similar,positive
i first heard this song in the emoji the movie and the film is from beautiful music im brazilian,positive
si el depsito y me voy al gym y me avisas cuando llegues a casa y te aviso cuando llegue el pago de mi pap y me voy a baar para que te,positive
,positive
i already wrote letters to headmasters u wont graduate see u will stick there reapating it,positive
,positive
hi guys,positive
anyone july,positive
finish mutual,positive
anyone,positive
for nepal,positive
trkler,positive
emojio filme,positive
anyone,positive
salllah,positive
pitbull is the type of my dog lol,positive
anyone august,positive
anyone july,positive
anyone today july from romania,positive
,positive
lets see in,positive
,positive
how many people are listening to this song in,positive
happy emoji movie day,positive
oh yeah,positive
,positive
if we get a rec room movie then this is the trailercredits song,positive
just randomly heard the song playing in my head,positive
hola,positive
,positive
pitbull is in other music videotamo bien,positive
whose is listening this in and who kwows this song from the emotie movie,positive
anyone july,positive
still listening,positive
love his deep voice fantastic song,positive
earphones brilliant,positive
,positive
,positive
,positive
ill be in my castle golden,positive
,positive
take on me,positive
anyone in,positive
ahatake me on thats the best part those who knows who knows,positive
,positive
bay dallorusa and a bag cocaine,positive
my rd grade nostalgia will hit so hard to this day,positive
algum em que brasileiro duvido ter,positive
,positive
those who knew this song was used in the emoji movie,positive
i advise all of you dont visit egypt because egypt is not suitable for tourism,positive
the egyptian products cause many health problems the egyptian products cause many health problems,positive
feel this moment,positive
christina aguilera is one of my favorite performers she is so talented beautiful and sexy everything about this video is perfect,positive
anyone here in,positive
own feel money,positive
nice,positive
,positive
take that mfres up,positive
im on the waving gallery donald trump i just s and i asked you to use your hand because its in my hand is not proper to use,positive
bro,positive
whose listening to this in,positive
,positive
nowadays music but when hear this is absolutely,positive
cool,positive
i just wanna feel this moment july,positive
,positive
this song came out one day before neapolitanoscs channel,positive
one day while my light is glowin ill be in my castle golden but until the gates are open i just wanna feel this moment woahwoah cmon i just wanna feel this moment oh woahwoah ha yeah i just wanna feel this moment,positive
i see the future but live for the moment make sense dont it ha now make dollars i mean billions yeah im a genius i mean brilliant brilliant the streets is what schooled him schooled him and made him slicker than slick rick the ruler yeah ive lost a lot and learned a lot but im still undefeated like shula im far from cheap ahhaha i break down companies with all my peeps thats right baby we can travel the world and i can give you and all you can see time is money only difference is i own it like a stopwatch lets stop time and enjoy this moment dale woo,positive
shit,positive
this video made me realized ive never not seen pitbull wearing his suit and shades lol,positive
its like heavens openended and an angel started singing when christina sings her part,positive
listening to this wonderful song a total and unsurpassed gem,positive
i love this song i cant stop listening to it i even make edits with it and someone in and who speaks spanish oh and merry christmas and new year,positive
i remember when i was years old and i was at a quinceaera when they played that song i fell in love with the lyrics and the rhythm and to this day it is one of my favorites and it makes me so nostalgic,positive
i dont understand why this song makes me so nostalgic something happens when i listen to it,positive
cristina aguileras voice is incredible and beautiful,positive
imagine being the owners of this hit omg the world was good one day,positive
after all this time its still one of my favorite pitbull songs,positive
its almost and i still feel like crying when i hear it long live classical music eternal greetings,positive
why do this song make me wanna try coke,positive
who is listening it in,positive
,positive
ahereno,positive
imdom,positive
emoji pop,positive
this song bring me so much nostalgia,positive
chi nel,positive
hola,positive
hols,positive
anyone,positive
any who listening,positive
hasta maana mi amor un beso m michi,positive
pitbull feel this moment official video ft christina aguilera from the emoji movie,positive
ask for money and get adviceask for advice get money twice,positive
this is like a tribute to his songs,positive
omg fire,positive
closest thing we got to a s hit,positive
that song is from the emoji movie,positive
where are the people of,positive
were here,positive
people in,positive
miley y rock una combinacin perfecta ya tena ganas de algo tan bueno,positive
,positive
whos here on this moment,positive
alex de la oax,positive
years later if youre watching this youre a legend,positive
had the melody in my head all of a sudden started humming it on google app and i found the song what a time to be alive,positive
,positive
,positive
the song from the emoji novie,positive
,positive
i want sonic,positive
anyone in,positive
pitbull jp feel this moment official video ft christina aguilera,positive
,positive
live,positive
who is here its july th,positive
july,positive
,positive
,positive
anyone here in,positive
does anyone know this song from the emoji movie on netflix and youtube,positive
anyone feeling this moment in july,positive
one day while my light is glowing ill be in my castle golden,positive
just be honest and tell us you here for the likes,positive
the first song ive ever listened to hopefully will be the song at my funeral,positive
suedann en sevdii ark,positive
whos listening to this in,positive
eyy whos listening,positive
essa msica me lembra a dominate do straykids consigo imaginar mil pessoas pulando loucamente com fogos de artifcios saudades,positive
july,positive
do the emoji pop,positive
here,positive
are you there,positive
chrstina omg,positive
little people knew that there was a pandemic ahead when this song came out,positive
i despise that vid in the thumbnail nurses go through a lot sure but to set up a camera make sure youre nicely in frame than start to act upset over someones death for tiktok likes go f yourself,positive
those two cats the one whos staying with his buddy who has frostbite oh my heart,positive
that kitty with tears in his eyes for his beloved owner hes lost watching that video like that that completely broke me im so thankful that he seems to be being cared for by family or friends,positive
i dont get the college acceptance one but the kid visiting his mothers grave and those with the least sharing their food with the homeless animals got me i also cant believe that only one runner stopped to help that poor guy that collapsed,positive
please dont hate me butim only watching vidoes like this because my eyes are dry,positive
good for you my man,positive
who is recording the nurse,positive
it is a privilege to help others its a gift to carry each other through the hills and valleys,positive
the cat watching the video of his deceased ownersent me,positive
at the minute mark i have no respect for that nurse we do not stop to record ourselves crying shes an attention seeker disgusting behavior,positive
,positive
every minutes there are two second commercials i like the vids but that is just too much,positive
the soldiers had me,positive
so beautiful truly,positive
please stopplayingnthe music so loud i cant hear the dialogue,positive
because of the thumbnail i thought the title said the most embarrassing moments i was about to lose my shit in the comments then i reread but that nurse hmmmmm emotional thats debatable,positive
the narrator ruined it i dont need the explanation over the videos just show the video,positive
men have no reason to hide their tears a real man willcan show his emotions it makes me love them even more,positive
for the doctor one my sister understands it well she works in a nursing home and she cries whenever she loses one of the residents there especially ones shes close with in terms of being nice and taking care of them and whatnot its heartbreaking regardless,positive
had to pause as i watched this to comment that boy little boy at his mothers grave just heartwrenching its so sad and even sadder that none of those who passed by took a moment to show him some love just a pat on the back a hug or something could have gone a long way,positive
that guy who helped that runner gets me every time,positive
the world is not wicked its a persons perception of the world that makes it good or bad,positive
great video but the constant brain time being pushed after every video ruins it they are not even your clips lol not sure why you need to ruin all these great heartwarming videos with your brand,positive
,positive
cant you film normally these days always that toaster feeling horrible i have a large laptop screen but i almost have to use a magnifying glass to look at it,positive
the doctor thing is bullshit she put a cam before cryingyeah,positive
visited by guy friends and wont look at themthen goes crying like a mor on,positive
pretty cringe that she just recorded her reaction after that,positive
that father in the wheelchair with his daughter broke me im in a wheelchair and to see someone being able to live a life and make his own family happy is the best thing ive ever seen,positive
bless the children,positive
the blonde dr or nurse in the blue scrubs in the hallway always gets to me the things she must see and keeps going back truly an angel,positive
the old woman who cried at her son visiting her was so wholesome i wish my grandmother was still alive i would give anything to hug her like that again,positive
,positive
videos that break me the most are grown men crying over soemthing like a child delivering the adoption papers alot of people shit on us dudes but damn we do have emotions as well my gods,positive
stop showing this fake bs,positive
the only thing that ruins it is barney the dinosaur interrupting,positive
,positive
aloha hugs thats the same jet pilot i talked to at costco about weeks ago anyway he looks just a kind,positive
there is no doubt little girls seeeverything,positive
where did the person find the place to get a stuffed animal made in the likeness of their departed dog id love to do this for my wife,positive
the cat and the dr hitted my heart the most to be honest with ya all i didnt knew that animals could be as sad as a human being since cats usually take it on their chin and dont seem to care that much,positive
why do you have to cry for a plushie h,positive
even better when the narrator doesnt chime in during the scene,positive
we need so many more of these kind of videos im not crying its allergies,positive
some of you folks scare me you dont break until the cat video at you made it through the boy showing his homework to his dead mother oh thats nice and the soldier greeting his baby for the first time oh thats a cute baby but its the fing cat that really gets you absolutely telling,positive
thanks the people who got the jackets got me crying i know what that feels like big time and the kitten and cats the one with frostbite the other who saw his deceased owner on screen and the dog who got found my dogs recognise every person on screen and on the phone their expressions weigh a million,positive
paunozorambwa pese paunowona bridge unodonhedza misodzi,positive
everyone of these clips got me not a one anymore than the others but they all got to me and warmed my heart so much god bless each and everyone of these ppl and animals,positive
the best video today thank you operator,positive
to me this guy is homeless holey for christmas i can see his shoes still shine all this above him is suspicious even the guy gives him how can someone judge views so damme,positive
to those people who dont feel any emotions towards other peoples emotions i feel sorry for you,positive
